symbol,RSI,SMA,MACD,Signal,Histogram,ATR,OBV,EMA,target,Timp început
PEPEUSDC,50.80370328607809,1.6773499999999998e-05,-2.582044932443491e-07,-3.2684103642087694e-07,6.863654317652782e-08,4.0701869309003523e-07,-222225113635.0,1.6667626343997933e-05,1.7e-05,2023-05-12 02:00:00
PEPEUSDC,49.169117305792646,1.6742499999999998e-05,-2.20068929155689e-07,-3.0548661496783934e-07,8.541768581215038e-08,3.913909154478981e-07,-237887370634.0,1.6720101075198347e-05,1.693e-05,2023-05-12 03:00:00
PEPEUSDC,49.419487294279705,1.67155e-05,-1.868850093807464e-07,-2.817662938504208e-07,9.488128446967438e-08,3.732984939040325e-07,-230193286155.0,1.676408086015868e-05,1.694e-05,2023-05-12 04:00:00
PEPEUSDC,53.60332722014001,1.6705e-05,-1.4519521457837838e-07,-2.544520779960123e-07,1.0925686341763397e-07,3.5364002922715505e-07,-215264247286.0,1.6833264688126946e-05,1.711e-05,2023-05-12 05:00:00
PEPEUSDC,54.5558289475932,1.67015e-05,-1.0768674042177965e-07,-2.2509901048116578e-07,1.1741227005938613e-07,3.42594186358385e-07,-204165978389.0,1.6896611750501556e-05,1.715e-05,2023-05-12 06:00:00
PEPEUSDC,54.5558289475932,1.6704e-05,-7.70725599239128e-08,-1.954937203697152e-07,1.1842116044580241e-07,3.287542072200229e-07,-204165978389.0,1.6947289400401245e-05,1.715e-05,2023-05-12 07:00:00
PEPEUSDC,56.6214621527625,1.67125e-05,-4.582700471989729e-08,-1.6556037723975164e-07,1.1973337251985433e-07,3.166326286067314e-07,-191236831245.0,1.7003831520320996e-05,1.723e-05,2023-05-12 08:00:00
PEPEUSDC,58.885616398215504,1.6735e-05,-1.3645136628778396e-08,-1.3517732911755697e-07,1.215321924887786e-07,3.032322232648878e-07,-178961194634.0,1.7067065216256797e-05,1.732e-05,2023-05-12 09:00:00
PEPEUSDC,55.42405850843095,1.6759499999999998e-05,3.746869842938537e-09,-1.0739248932545786e-07,1.111393591683964e-07,3.001292628987329e-07,-189232336317.0,1.709765217300544e-05,1.722e-05,2023-05-12 10:00:00
PEPEUSDC,57.31559335135135,1.68015e-05,2.2914431952204546e-08,-8.13311050699254e-08,1.0424553702212993e-07,2.857700989547145e-07,-180019463310.0,1.713612173840435e-05,1.729e-05,2023-05-12 11:00:00
PEPEUSDC,56.5768909042563,1.68545e-05,3.607517796997683e-08,-5.784984846194495e-08,9.392502643192178e-08,2.7818358717064734e-07,-231309530245.0,1.716289739072348e-05,1.727e-05,2023-05-12 12:00:00
PEPEUSDC,65.25693709224592,1.6911500000000002e-05,7.469313934606642e-08,-3.134125090034268e-08,1.060343902464091e-07,2.8835254348221e-07,-164313014221.0,1.7256317912578785e-05,1.763e-05,2023-05-12 13:00:00
PEPEUSDC,62.63513815714138,1.6967500000000003e-05,9.851412744019721e-08,-5.3701752322347105e-09,1.0388430267243189e-07,2.884706418187092e-07,-190362697796.0,1.731705433006303e-05,1.756e-05,2023-05-12 14:00:00
PEPEUSDC,56.99823314740552,1.7004500000000003e-05,1.0329109386790481e-07,1.6362078587793193e-08,8.692901528011162e-08,2.95746931812403e-07,-208769243865.0,1.7333643464050423e-05,1.74e-05,2023-05-12 15:00:00
PEPEUSDC,55.6498559084309,1.70435e-05,1.0266574170878365e-07,3.362281121199128e-08,6.904293049679234e-08,2.946186675511647e-07,-229342051089.0,1.733891477124034e-05,1.736e-05,2023-05-12 16:00:00
PEPEUSDC,58.5535742042129,1.7102e-05,1.097807422484009e-07,4.88543974192732e-08,6.092634482912769e-08,2.899897779541192e-07,-175600368657.0,1.7365131816992272e-05,1.747e-05,2023-05-12 17:00:00
PEPEUSDC,59.58967912032941,1.7167e-05,1.1729499347176737e-07,6.254251662977205e-08,5.4752476841995324e-08,2.842609716969485e-07,-136045639806.0,1.7394105453593818e-05,1.751e-05,2023-05-12 18:00:00
PEPEUSDC,56.186270776028366,1.72255e-05,1.1466604507444605e-07,7.296722231870686e-08,4.169882275573921e-08,2.796595277253275e-07,-161525893370.0,1.7399284362875055e-05,1.742e-05,2023-05-12 19:00:00
PEPEUSDC,54.691197058692175,1.7259e-05,1.0810870892184513e-07,7.999551963933451e-08,2.8113189282510613e-08,2.803998321731892e-07,-189272375954.0,1.7395427490300044e-05,1.738e-05,2023-05-12 20:00:00
PEPEUSDC,58.82127305346861,1.7293000000000002e-05,1.1290727793138074e-07,8.657787129774377e-08,2.6329406633636983e-08,2.653391719740547e-07,-171812932943.0,1.7420341992240034e-05,1.752e-05,2023-05-12 21:00:00
PEPEUSDC,56.828896910350814,1.73165e-05,1.1139154393108641e-07,9.154060582441229e-08,1.9850938106674096e-08,2.592314284729968e-07,-195745499802.0,1.743027359379203e-05,1.747e-05,2023-05-12 22:00:00
PEPEUSDC,56.01163763466536,1.73425e-05,1.0733914214816949e-07,9.470031308916375e-08,1.2638829059005744e-08,2.492680155243171e-07,-207737500197.0,1.7434218875033626e-05,1.745e-05,2023-05-12 23:00:00
PEPEUSDC,55.15739922340859,1.7367e-05,1.0134550380374003e-07,9.6029351232079e-08,5.3161525716610165e-09,2.4502734896426986e-07,-217876651365.0,1.74333751000269e-05,1.743e-05,2023-05-13 00:00:00
PEPEUSDC,58.24357945667917,1.7387500000000003e-05,1.026741859691706e-07,9.735831817949733e-08,5.315867789673266e-09,2.325055528395231e-07,-207950440263.0,1.745070008002152e-05,1.752e-05,2023-05-13 01:00:00
PEPEUSDC,59.57520015184015,1.7408e-05,1.0573598326722649e-07,9.903385119704317e-08,6.7021320701833295e-09,2.280342912043882e-07,-197293739436.0,1.7472560064017215e-05,1.756e-05,2023-05-13 02:00:00
PEPEUSDC,60.25764190981779,1.74295e-05,1.0852530042932097e-07,1.0093214104349873e-07,7.593159385822225e-09,2.210222609181766e-07,-189681487423.0,1.7494048051213774e-05,1.758e-05,2023-05-13 03:00:00
PEPEUSDC,61.312666198029845,1.74485e-05,1.1186706971097533e-07,1.0311912677699407e-07,8.747942933981271e-09,2.166579907966067e-07,-178591849479.0,1.751723844097102e-05,1.761e-05,2023-05-13 04:00:00
PEPEUSDC,57.996579435892826,1.7460000000000002e-05,1.0842410182952115e-07,1.0418012178749949e-07,4.2439800420216636e-09,2.1618185907958813e-07,-186392579078.0,1.7523790752776817e-05,1.755e-05,2023-05-13 05:00:00
PEPEUSDC,57.43898825331528,1.7476e-05,1.0369329677334595e-07,1.0408275678466879e-07,-3.8946001132283743e-10,2.1931515404822575e-07,-195186404589.0,1.7527032602221456e-05,1.754e-05,2023-05-13 06:00:00
PEPEUSDC,50.6249279720737,1.7482e-05,8.843476521339692e-08,1.0095315847041443e-07,-1.2518393257017513e-08,2.2722925391658245e-07,-212858688515.0,1.7503626081777166e-05,1.741e-05,2023-05-13 07:00:00
PEPEUSDC,53.80292193882232,1.74925e-05,8.105631723664554e-08,9.697379022366065e-08,-1.5917472987015112e-08,2.1741790952457058e-07,-206848184826.0,1.7498900865421734e-05,1.748e-05,2023-05-13 08:00:00
PEPEUSDC,48.95527010402452,1.748e-05,6.637455523506948e-08,9.085394322594243e-08,-2.4479387990872954e-08,2.1617268243416002e-07,-232392635238.0,1.747512069233739e-05,1.738e-05,2023-05-13 09:00:00
