symbol,current_price,predicted_price,timestamp,real_price,accuracy,trend_match
TIAUSDC,4.743,4.769131000000007,2025-01-14 23:22:29,4.739,0.6358092424563624,False
STRKUSDC,0.4263,0.428572,2025-01-14 23:22:29,0.4263,0.5329580107905223,False
SUIUSDC,4.5763,4.604509999999999,2025-01-14 23:22:29,4.5713,0.7264891825082476,False
MANTAUSDC,0.751,0.7460159999999998,2025-01-14 23:22:29,0.748,0.2652406417112578,True
WLDUSDC,2.028,2.02056,2025-01-14 23:22:29,2.025,0.21925925925924827,True
FILUSDC,5.208,5.187880000000006,2025-01-14 23:22:29,5.206,0.34805993084891207,True
JUPUSDC,0.7932,0.7984740000000008,2025-01-14 23:22:29,0.7927,0.7283966191498467,False
UNIUSDC,13.372,13.33773999999998,2025-01-14 23:22:29,13.372,0.25620699970101163,True
ALTUSDC,0.09695,0.0968338999999999,2025-01-14 23:22:29,0.09686,0.026946107784532592,True
BLURUSDC,0.2145,0.214075,2025-01-14 23:22:29,0.2145,0.1981351981352022,True
SEIUSDC,0.3779,0.3779099999999998,2025-01-14 23:22:29,0.3779,0.002646202699070642,False
PIXELUSDC,0.1372,0.1363099999999999,2025-01-14 23:22:29,0.1372,0.6486880466472924,True
PEPEUSDC,1.75e-05,1.7513746785714274e-05,2025-01-14 23:22:29,1.749e-05,0.13577350322626736,False
EURUSDC,1.0301,1.0302810000000016,2025-01-14 23:22:29,1.0301,0.01757110960115921,False
BOMEUSDC,0.00541,0.00539964,2025-01-14 23:22:29,0.00541,0.19149722735674782,True
SHIBUSDC,2.168e-05,2.1687071280663776e-05,2025-01-14 23:22:29,2.166e-05,0.12498282854929205,False
BONKUSDC,2.742e-05,2.73498380952381e-05,2025-01-14 23:22:29,2.74e-05,0.18307264511642352,True
WIFUSDC,1.545,1.538320000000001,2025-01-14 23:22:29,1.547,0.5610859728506083,False
NEARUSDC,5.025,5.066769999999996,2025-01-14 23:22:29,5.017,0.9920271078332886,False
JTOUSDC,2.502,2.5040919999999987,2025-01-14 23:22:29,2.5,0.1636799999999461,False
CKBUSDC,0.010629,0.0105591299999999,2025-01-14 23:22:29,0.010629,0.6573525261087616,True
FLOKIUSDC,0.00016226,0.000161787885,2025-01-14 23:22:29,0.00016229,0.30939367798385037,False
PENDLEUSDC,3.847,3.833143000000007,2025-01-14 23:22:29,3.842,0.23053097345115126,True
FETUSDC,1.301,1.296305999999999,2025-01-14 23:22:29,1.301,0.36079938508846,True
TRBUSDC,57.65,57.074399999999976,2025-01-14 23:22:30,57.65,0.9984388551604905,True
ENAUSDC,0.8387,0.8442499999999994,2025-01-14 23:22:30,0.8349,1.1198945981553976,False
STXUSDC,1.497,1.5120800000000003,2025-01-14 23:22:30,1.496,1.074866310160449,False
CFXUSDC,0.1485,0.1483880000000001,2025-01-14 23:22:30,0.1485,0.07542087542080132,True
YGGUSDC,0.4307,0.4312790000000002,2025-01-14 23:22:30,0.4307,0.13443231947995418,False
APTUSDC,8.95,8.873499999999998,2025-01-14 23:22:30,8.96,0.9654017857143156,False
ICPUSDC,10.223,10.184810000000011,2025-01-14 23:22:30,10.211,0.256488101067369,True
SAGAUSDC,1.2415,1.241502999999999,2025-01-14 23:22:30,1.2415,0.00024164317348892642,False
OMNIUSDC,8.59,8.615599999999999,2025-01-14 23:22:30,8.58,0.4149184149184003,False
GALAUSDC,0.03598,0.0353221999999999,2025-01-14 23:22:30,0.03585,1.4722454672248229,True
ETHFIUSDC,1.878,1.8520400000000008,2025-01-14 23:22:30,1.878,1.3823216187432958,True
RUNEUSDC,3.273,3.270480000000002,2025-01-14 23:22:30,3.273,0.0769935838679591,True
BBUSDC,0.3361,0.3386822999999999,2025-01-14 23:22:31,0.3361,0.768313002082675,False
TNSRUSDC,0.3862,0.3866110000000001,2025-01-14 23:22:31,0.3866,0.0028453181583275393,True
USDCTRY,35.5,35.48010000000001,2025-01-14 23:22:31,35.5,0.05605633802814845,True
ENSUSDC,31.99,31.90500000000001,2025-01-14 23:22:31,31.97,0.20331560838282958,True
ARUSDC,15.78,15.665400000000009,2025-01-14 23:22:31,15.77,0.663284717818584,True
NOTUSDC,0.006274,0.00628483,2025-01-14 23:22:31,0.00627,0.23652312599680272,False
ARKMUSDC,1.327,1.2987600000000006,2025-01-14 23:22:31,1.327,2.128108515448333,True
LDOUSDC,1.875,1.80502,2025-01-14 23:22:31,1.868,3.371520342612421,True
ZKUSDC,0.1768,0.176114,2025-01-14 23:22:31,0.1767,0.33163554046406524,True
REZUSDC,0.03127,0.0312744799999999,2025-01-14 23:22:31,0.03121,0.20660044857385954,False
PEOPLEUSDC,0.03877,0.038256,2025-01-14 23:22:31,0.03877,1.3257673458859958,True
CRVUSDC,0.8659,0.8591170000000007,2025-01-14 23:22:31,0.8638,0.5421393841166157,True
RENDERUSDC,7.048,7.058999999999987,2025-01-14 23:22:31,7.035,0.34115138592731625,False
RAREUSDC,0.1039,0.1035961999999999,2025-01-14 23:22:31,0.1039,0.2923965351300327,True
AAVEUSDC,294.92,293.8533999999998,2025-01-14 23:22:31,294.92,0.36165739861664903,True
DOGSUSDC,0.0004413,0.0004377939999999,2025-01-14 23:22:31,0.0004405,0.6143019296481183,True
NEIROUSDC,0.00076713,0.0007665390999999,2025-01-14 23:22:31,0.00076664,0.013161327363560698,True
ZROUSDC,4.406,4.351500000000002,2025-01-14 23:22:31,4.41,1.3265306122448475,False
1000SATSUSDC,0.0001408,0.0001401909999999,2025-01-14 23:22:31,0.0001406,0.2908961593883403,True
IOUSDC,2.945,2.973610000000002,2025-01-14 23:22:31,2.944,1.0057744565218116,False
SLFUSDC,0.27,0.2683394,2025-01-14 23:22:31,0.27,0.6150370370370415,True
POLUSDC,0.4559,0.4556499999999996,2025-01-14 23:22:31,0.4555,0.032930845224938506,True
TONUSDC,5.389,5.424169999999995,2025-01-14 23:22:31,5.388,0.6713066072753328,False
ACTUSDC,0.2497,0.250947,2025-01-14 23:22:31,0.2496,0.5396634615384563,False
TAOUSDC,418.2,418.9579999999997,2025-01-14 23:22:32,418.4,0.1333652007647487,True
APEUSDC,1.074,1.061349999999999,2025-01-14 23:22:32,1.073,1.085740913327218,True
RAYUSDC,5.219,5.128819999999999,2025-01-14 23:22:32,5.221,1.7655621528442984,False
PNUTUSDC,0.6236,0.6237160000000003,2025-01-14 23:22:32,0.6236,0.018601667735764438,False
OMUSDC,3.7032,3.7151199999999975,2025-01-14 23:22:32,3.7032,0.3218837761935005,False
1MBABYDOGEUSDC,0.0027559,0.0027474119999999,2025-01-14 23:22:32,0.0027559,0.30799375884828256,True
EIGENUSDC,3.101,3.072970000000001,2025-01-14 23:22:32,3.101,0.9039019671073489,True
